Time,Channel A,Channel B
(ms),(V),(V)

-10.00117140,0.21975340,0.01953363
-10.00065940,0.19045290,0.02148700
-10.00014740,0.21487000,0.02148700
-9.99963540,0.21975340,0.02051032
-9.99912340,0.22463680,0.02344036
-9.99861140,0.20998660,0.02051032
-9.99809940,0.21975340,0.02051032
-9.99758740,0.21975340,0.01953363
-9.99707540,0.21487000,0.01855695
-9.99656340,0.22463680,0.02051032
-9.99605140,0.21487000,0.01855695
-9.99553940,0.22463680,0.01758027
-9.99502740,0.21487000,0.02148700
-9.99451540,0.21975340,0.02051032
-9.99400340,0.21975340,0.02441704
-9.99349140,0.20021980,0.02051032
-9.99297940,0.22952020,0.01758027
-9.99246740,0.21975340,0.01855695
-9.99195540,0.22463680,0.01855695
-9.99144340,0.20021980,0.02344036
-9.99093140,0.20998660,0.01855695
-9.99041940,0.20510320,0.01855695
-9.98990740,0.21487000,0.01953363
-9.98939540,0.20510320,0.01953363
-9.98888340,0.22463680,0.02148700
-9.98837140,0.21487000,0.02051032
-9.98785940,0.21487000,0.01855695
-9.98734740,0.21975340,0.01758027
-9.98683540,0.19045290,0.02051032
-9.98632340,0.18556950,0.02148700
-9.98581140,0.20998660,0.01855695
-9.98529940,0.20021980,0.01953363
-9.98478740,0.20998660,0.01660359
-9.98427540,0.21487000,0.01367354
-9.98376340,0.19533630,0.01855695
-9.98325140,0.18556950,0.01660359
-9.98273940,0.20998660,0.01758027
-9.98222740,0.18068610,0.01758027
-9.98171540,0.20510320,0.01465023
-9.98120340,0.20998660,0.01855695
-9.98069140,0.20998660,0.01465023
-9.98017940,0.21487000,0.01660359
-9.97966740,0.20021980,0.01367354
-9.97915540,0.19533630,0.01465023
-9.97864340,0.19533630,0.01953363
-9.97813140,0.20998660,0.01758027
-9.97761940,0.19533630,0.01562691
-9.97710740,0.19045290,0.01367354
-9.97659540,0.21487000,0.01562691
-9.97608340,0.20998660,0.01953363
-9.97557140,0.19533630,0.01465023
-9.97505940,0.19045290,0.01465023
-9.97454740,0.20510320,0.01465023
-9.97403540,0.21487000,0.01367354
-9.97352340,0.20998660,0.01660359
-9.97301140,0.19533630,0.01562691
-9.97249940,0.18556950,0.01367354
-9.97198740,0.20021980,0.01269686
-9.97147540,0.20021980,0.01269686
-9.97096340,0.19533630,0.01758027
-9.97045140,0.18068610,0.01367354
-9.96993940,0.19533630,0.01660359
-9.96942740,0.19045290,0.01562691
-9.96891540,0.21487000,0.01660359
-9.96840340,0.21487000,0.01758027
-9.96789140,0.20510320,0.01660359
-9.96737940,0.19533630,0.01855695
-9.96686740,0.19533630,0.01465023
-9.96635540,0.20510320,0.01465023
-9.96584340,0.20510320,0.01855695
-9.96533140,0.18556950,0.01465023
-9.96481940,0.19533630,0.01953363
-9.96430740,0.19533630,0.01660359
-9.96379540,0.20510320,0.02148700
-9.96328340,0.20021980,0.02051032
-9.96277140,0.20510320,0.02051032
-9.96225940,0.18556950,0.01855695
-9.96174740,0.19045290,0.01953363
-9.96123540,0.18068610,0.01855695
-9.96072340,0.20510320,0.02148700
-9.96021140,0.19533630,0.01855695
-9.95969940,0.20510320,0.01855695
-9.95918740,0.18556950,0.01855695
-9.95867540,0.18556950,0.01855695
-9.95816340,0.20998660,0.01953363
-9.95765140,0.17580270,0.01855695
-9.95713940,0.19045290,0.01855695
-9.95662740,0.19045290,0.01758027
-9.95611540,0.19045290,0.01855695
-9.95560340,0.20998660,0.01953363
-9.95509140,0.20998660,0.01855695
-9.95457940,0.20998660,0.01953363
-9.95406740,0.20998660,0.01758027
-9.95355540,0.20998660,0.01953363
-9.95304340,0.20021980,0.01953363
-9.95253140,0.20021980,0.01660359
-9.95201940,0.20021980,0.01660359
-9.95150740,0.22463680,0.01660359
-9.95099540,0.20998660,0.01758027
-9.95048340,0.22463680,0.02148700
-9.94997140,0.22463680,0.01758027
-9.94945940,0.20998660,0.01855695
-9.94894740,0.20998660,0.01855695
-9.94843540,0.20998660,0.01855695
-9.94792340,0.22463680,0.01855695
-9.94741140,0.21487000,0.01855695
-9.94689940,0.20998660,0.02051032
-9.94638740,0.21487000,0.01855695
-9.94587540,0.20510320,0.01953363
-9.94536340,0.23928700,0.02148700
-9.94485140,0.20998660,0.01660359
-9.94433940,0.21975340,0.01855695
-9.94382740,0.21487000,0.01855695
-9.94331540,0.22463680,0.01953363
-9.94280340,0.20510320,0.02051032
-9.94229140,0.21975340,0.01660359
-9.94177940,0.22952020,0.01953363
-9.94126740,0.23440360,0.01855695
-9.94075540,0.21487000,0.02051032
-9.94024340,0.19533630,0.02051032
