Time,Channel A,Channel B
(ms),(V),(V)

-10.00093649,0.20510320,0.01465023
-10.00042449,0.19533630,0.01660359
-9.99991249,0.19045290,0.01855695
-9.99940049,0.18556950,0.01660359
-9.99888849,0.19533630,0.01562691
-9.99837649,0.17580270,0.01953363
-9.99786449,0.16603590,0.01562691
-9.99735249,0.18556950,0.01855695
-9.99684049,0.17091930,0.01855695
-9.99632849,0.17580270,0.01562691
-9.99581649,0.16603590,0.01660359
-9.99530449,0.18556950,0.01758027
-9.99479249,0.19533630,0.02051032
-9.99428049,0.17580270,0.01758027
-9.99376849,0.18556950,0.01855695
-9.99325649,0.19045290,0.01660359
-9.99274449,0.16115250,0.01758027
-9.99223249,0.19533630,0.01855695
-9.99172049,0.19045290,0.01660359
-9.99120849,0.18556950,0.01855695
-9.99069649,0.20510320,0.01562691
-9.99018449,0.18068610,0.01562691
-9.98967249,0.18068610,0.02246368
-9.98916049,0.17580270,0.01562691
-9.98864849,0.18556950,0.01660359
-9.98813649,0.17580270,0.01562691
-9.98762449,0.18556950,0.01562691
-9.98711249,0.18556950,0.01855695
-9.98660049,0.19045290,0.01562691
-9.98608849,0.20021980,0.01855695
-9.98557649,0.17091930,0.01367354
-9.98506449,0.18556950,0.01562691
-9.98455249,0.19533630,0.01855695
-9.98404049,0.17580270,0.01660359
-9.98352849,0.17580270,0.01660359
-9.98301649,0.17580270,0.01465023
-9.98250449,0.18068610,0.01660359
-9.98199249,0.17580270,0.01855695
-9.98148049,0.20021980,0.01562691
-9.98096849,0.17091930,0.01465023
-9.98045649,0.18068610,0.01367354
-9.97994449,0.18556950,0.01465023
-9.97943249,0.18556950,0.01660359
-9.97892049,0.17091930,0.01367354
-9.97840849,0.19045290,0.01465023
-9.97789649,0.20510320,0.01562691
-9.97738449,0.18556950,0.01269686
-9.97687249,0.18556950,0.01660359
-9.97636049,0.19045290,0.01562691
-9.97584849,0.18556950,0.01172018
-9.97533649,0.18556950,0.01660359
-9.97482449,0.20021980,0.01367354
-9.97431249,0.20510320,0.01367354
-9.97380049,0.20998660,0.01660359
-9.97328849,0.18556950,0.01562691
-9.97277649,0.18068610,0.01465023
-9.97226449,0.20021980,0.01660359
-9.97175249,0.20510320,0.01855695
-9.97124049,0.20021980,0.01562691
-9.97072849,0.20510320,0.01953363
-9.97021649,0.21487000,0.01855695
-9.96970449,0.18068610,0.01953363
-9.96919249,0.20510320,0.02246368
-9.96868049,0.19533630,0.01953363
-9.96816849,0.21975340,0.01855695
-9.96765649,0.19533630,0.01855695
-9.96714449,0.18556950,0.01758027
-9.96663249,0.21487000,0.02246368
-9.96612049,0.20021980,0.02051032
-9.96560849,0.19533630,0.02051032
-9.96509649,0.20998660,0.01855695
-9.96458449,0.19533630,0.02148700
-9.96407249,0.20510320,0.01855695
-9.96356049,0.20510320,0.01758027
-9.96304849,0.19533630,0.02051032
-9.96253649,0.20998660,0.01953363
-9.96202449,0.20998660,0.01855695
-9.96151249,0.21487000,0.02441704
-9.96100049,0.20998660,0.01953363
-9.96048849,0.20998660,0.01855695
-9.95997649,0.21487000,0.01855695
-9.95946449,0.20510320,0.01855695
-9.95895249,0.21487000,0.02246368
-9.95844049,0.19533630,0.02246368
-9.95792849,0.21487000,0.01953363
-9.95741649,0.19045290,0.01758027
-9.95690449,0.20510320,0.01758027
-9.95639249,0.20021980,0.02148700
-9.95588049,0.20998660,0.01758027
-9.95536849,0.20510320,0.01758027
-9.95485649,0.20021980,0.01855695
-9.95434449,0.21487000,0.01562691
-9.95383249,0.18556950,0.01953363
-9.95332049,0.19533630,0.01758027
-9.95280849,0.21975340,0.02051032
-9.95229649,0.19045290,0.01562691
-9.95178449,0.19045290,0.01855695
-9.95127249,0.21487000,0.02051032
-9.95076049,0.18068610,0.01855695
-9.95024849,0.21487000,0.01465023
-9.94973649,0.18556950,0.01562691
-9.94922449,0.16603590,0.01660359
-9.94871249,0.20998660,0.01855695
-9.94820049,0.18556950,0.01660359
-9.94768849,0.18068610,0.01367354
-9.94717649,0.19045290,0.01562691
-9.94666449,0.18068610,0.01660359
-9.94615249,0.16603590,0.01562691
-9.94564049,0.18068610,0.01367354
-9.94512849,0.18068610,0.01172018
-9.94461649,0.16603590,0.01465023
-9.94410449,0.18068610,0.00976682
-9.94359249,0.19045290,0.01855695
-9.94308049,0.17091930,0.01562691
-9.94256849,0.16115250,0.01660359
-9.94205649,0.18556950,0.01660359
-9.94154449,0.18556950,0.01465023
-9.94103249,0.17580270,0.02051032
-9.94052049,0.17091930,0.01562691
-9.94000849,0.18068610,0.01562691
