Time,Channel A,Channel B
(ms),(V),(V)

-9.67068799,8.14552500,-1.18764500
-9.66511999,8.17482600,-1.20034200
-9.65955199,8.24807700,-1.20522500
-9.65398399,8.25296000,-1.20717900
-9.64841599,8.25296000,-1.20229500
-9.64284799,8.26761100,-1.20424900
-9.63727999,8.26761100,-1.20424900
-9.63171199,8.25784400,-1.20815500
-9.62614399,8.26272800,-1.21499200
-9.62057599,8.26272800,-1.20717900
-9.61500799,8.26272800,-1.21206200
-9.60943999,8.24807700,-1.21108500
-9.60387199,8.23831000,-1.20913200
-9.59830399,8.22854300,-1.20815500
-9.59273599,8.22366000,-1.20327200
-9.58716799,8.22366000,-1.20815500
-9.58159999,8.21877700,-1.21108500
-9.57603199,8.20412600,-1.20620200
-9.57046399,8.17970900,-1.20620200
-9.56489599,8.17482600,-1.20327200
-9.55932799,8.16017500,-1.20522500
-9.55375999,8.15040900,-1.20229500
-9.54819200,8.11622500,-1.20034200
-9.54262400,8.10645900,-1.20034200
-9.53705600,8.09180800,-1.19838800
-9.53148800,8.09180800,-1.19936500
-9.52592000,8.08692500,-1.20034200
-9.52035200,8.06250800,-1.19741200
-9.51478400,8.06739000,-1.19448200
-9.50921600,8.07227400,-1.19350500
-9.50364800,8.03320700,-1.19350500
-9.49808000,8.03809100,-1.19448200
-9.49251200,8.04297400,-1.19643500
-9.48694400,8.01367400,-1.19448200
-9.48137600,8.01367400,-1.19155200
-9.47580800,7.98925600,-1.19155200
-9.47024000,7.97948900,-1.19057500
-9.46467200,7.95995600,-1.19252800
-9.45910400,7.95995600,-1.18666800
-9.45353600,7.94530600,-1.18764500
-9.44796800,7.93065500,-1.18569200
-9.44240000,7.92577200,-1.18666800
-9.43683200,7.91112200,-1.18373800
-9.43126400,7.88182200,-1.18666800
-9.42569600,7.86717100,-1.18080800
-9.42012800,7.88670500,-1.18276200
-9.41456000,7.85252100,-1.17983200
-9.40899200,7.84275400,-1.17885500
-9.40342400,7.84763800,-1.17592500
-9.39785600,7.83298700,-1.17299500
-9.39228800,7.78903700,-1.17397100
-9.38672000,7.79392000,-1.17201800
-9.38115200,7.78415300,-1.17201800
-9.37558400,7.75973600,-1.16713500
-9.37001600,7.78903700,-1.16713500
-9.36444800,7.74020200,-1.16713500
-9.35888000,7.74508600,-1.16811100
-9.35331200,7.71090200,-1.16322800
-9.34774400,7.68160200,-1.16127500
-9.34217600,7.68648500,-1.15541400
-9.33660800,7.65230100,-1.16225100
-9.33104000,7.65230100,-1.15736800
-9.32547200,7.62788400,-1.15248400
-9.31990400,7.62788400,-1.15541400
-9.31433600,7.59370000,-1.14662400
-9.30876800,7.57905000,-1.14955400
-9.30320000,7.55951600,-1.14760100
-9.29763201,7.55951600,-1.14955400
-9.29206401,7.53998300,-1.14564800
-9.28649601,7.52533200,-1.14467100
-9.28092801,7.52044900,-1.14174100
-9.27536001,7.50091600,-1.13978800
-9.26979201,7.46673200,-1.13783400
-9.26422401,7.44719800,-1.13490400
-9.25865601,7.43743100,-1.12904400
-9.25308801,7.41789800,-1.12806700
-9.24752001,7.40813100,-1.12611400
-9.24195201,7.37883000,-1.12513700
-9.23638401,7.36418000,-1.12318400
-9.23081601,7.34953000,-1.11537100
-9.22524801,7.32023000,-1.11927700
-9.21968001,7.31046200,-1.11244000
-9.21411201,7.28116200,-1.11048700
-9.20854401,7.27139500,-1.10755700
-9.20297601,7.26162900,-1.10560400
-9.19740801,7.22744500,-1.10755700
-9.19184001,7.24209500,-1.10951000
-9.18627201,7.22256100,-1.10560400
-9.18070401,7.17372700,-1.10169700
-9.17513601,7.17372700,-1.09583700
-9.16956801,7.15907700,-1.09681400
-9.16400001,7.12977600,-1.09193000
-9.15843201,7.10536000,-1.08900000
-9.15286401,7.11512600,-1.08900000
-9.14729601,7.09559200,-1.08509300
-9.14172801,7.06629200,-1.08802300
-9.13616001,7.03210800,-1.08021000
-9.13059201,7.00769100,-1.07630300
-9.12502401,6.98815800,-1.07435000
-9.11945601,6.95885700,-1.06849000
-9.11388801,6.93444000,-1.06849000
-9.10832001,6.91002300,-1.06556000
-9.10275201,6.91002300,-1.06263000
-9.09718401,6.89049000,-1.05774600
-9.09161601,6.85630600,-1.05286300
-9.08604801,6.87095600,-1.05579300
-9.08048001,6.84165500,-1.05286300
-9.07491201,6.82700500,-1.04797900
-9.06934401,6.80258800,-1.04895600
-9.06377601,6.77328800,-1.04407300
-9.05820801,6.71957000,-1.04016600
-9.05264001,6.71468700,-1.03528300
-9.04707202,6.68538600,-1.03235300
-9.04150402,6.68050300,-1.02942300
