Time,Channel A,Channel B
(ms),(V),(mV)

-19.98773590,0.25393720,4.63923800
-19.98699990,0.21975340,3.17421500
-19.98626390,0.23928700,2.68587400
-19.98552790,0.22463680,3.90672700
-19.98479190,0.23440360,3.66255600
-19.98405590,0.22463680,3.90672700
-19.98331990,0.21975340,1.70919300
-19.98258390,0.23928700,3.41838600
-19.98184790,0.21487000,3.17421500
-19.98111190,0.23928700,2.68587400
-19.98037590,0.22952020,5.12757900
-19.97963990,0.20510320,3.41838600
-19.97890390,0.20510320,2.68587400
-19.97816790,0.19045290,3.17421500
-19.97743190,0.20510320,2.68587400
-19.97669590,0.21487000,4.15089700
-19.97595990,0.20998660,2.93004500
-19.97522390,0.21975340,2.44170400
-19.97448790,0.21487000,3.66255600
-19.97375190,0.21975340,3.17421500
-19.97301590,0.22952020,4.15089700
-19.97227990,0.22952020,2.93004500
-19.97154390,0.22952020,4.63923800
-19.97080790,0.22463680,2.93004500
-19.97007190,0.22463680,2.68587400
-19.96933590,0.21975340,2.68587400
-19.96859990,0.20998660,2.68587400
-19.96786390,0.22463680,2.93004500
-19.96712790,0.20998660,1.22085200
-19.96639190,0.20510320,2.68587400
-19.96565590,0.21487000,4.63923800
-19.96491990,0.20510320,2.68587400
-19.96418390,0.21487000,2.19753400
-19.96344790,0.20998660,2.68587400
-19.96271190,0.23440360,2.68587400
-19.96197590,0.22952020,2.68587400
-19.96123990,0.21975340,2.93004500
-19.96050390,0.22463680,3.66255600
-19.95976790,0.20998660,2.93004500
-19.95903190,0.21975340,2.19753400
-19.95829590,0.22463680,5.12757900
-19.95755990,0.21975340,2.68587400
-19.95682390,0.23928700,2.93004500
-19.95608790,0.22463680,2.19753400
-19.95535190,0.22463680,2.68587400
-19.95461590,0.22952020,4.15089700
-19.95387990,0.21975340,2.44170400
-19.95314390,0.23928700,1.95336300
-19.95240790,0.23928700,2.44170400
-19.95167190,0.20998660,2.44170400
-19.95093590,0.24417040,2.19753400
-19.95019990,0.21975340,1.46502200
-19.94946390,0.20998660,2.93004500
-19.94872790,0.22463680,2.44170400
-19.94799190,0.20021980,3.41838600
-19.94725590,0.21975340,3.17421500
-19.94651990,0.22952020,2.19753400
-19.94578390,0.20510320,5.86009000
-19.94504790,0.20021980,2.44170400
-19.94431190,0.21487000,4.39506700
-19.94357590,0.22463680,2.44170400
-19.94283990,0.22463680,3.66255600
-19.94210390,0.23928700,2.19753400
-19.94136790,0.23440360,2.68587400
-19.94063190,0.23440360,3.17421500
-19.93989590,0.23440360,4.15089700
-19.93915990,0.23440360,3.66255600
-19.93842390,0.23928700,2.19753400
-19.93768790,0.22952020,2.93004500
-19.93695190,0.22463680,4.15089700
-19.93621590,0.22952020,2.68587400
-19.93547990,0.23440360,2.19753400
-19.93474390,0.24417040,2.44170400
-19.93400790,0.23440360,2.93004500
-19.93327190,0.23928700,2.93004500
-19.93253590,0.25393720,3.90672700
-19.93179990,0.23928700,2.19753400
-19.93106390,0.24417040,3.66255600
-19.93032790,0.26370410,2.44170400
-19.92959190,0.24417040,2.68587400
-19.92885590,0.25393720,1.46502200
-19.92811990,0.24905380,3.66255600
-19.92738390,0.24905380,2.93004500
-19.92664790,0.26858750,3.66255600
-19.92591190,0.25882070,3.90672700
-19.92517590,0.25882070,3.17421500
-19.92443990,0.26370410,1.22085200
-19.92370390,0.26858750,2.93004500
-19.92296790,0.25393720,2.68587400
-19.92223190,0.24417040,3.41838600
-19.92149590,0.25393720,2.44170400
-19.92075990,0.24417040,1.46502200
-19.92002390,0.24417040,4.39506700
-19.91928790,0.21975340,2.19753400
-19.91855190,0.22463680,3.17421500
-19.91781590,0.22952020,2.19753400
-19.91707990,0.22463680,4.88340800
-19.91634390,0.23440360,2.68587400
-19.91560790,0.21487000,2.93004500
-19.91487190,0.20998660,2.19753400
-19.91413590,0.21975340,3.41838600
-19.91339990,0.21975340,2.19753400
-19.91266390,0.21975340,3.41838600
-19.91192790,0.21975340,3.90672700
-19.91119190,0.22952020,2.93004500
-19.91045590,0.20998660,4.63923800
-19.90971990,0.21487000,2.44170400
-19.90898390,0.20021980,3.90672700
-19.90824790,0.23440360,2.93004500
-19.90751190,0.22952020,2.19753400
-19.90677590,0.22952020,3.66255600
-19.90603990,0.23928700,3.66255600
-19.90530390,0.23928700,4.39506700
-19.90456790,0.24417040,3.90672700
-19.90383190,0.22952020,3.17421500
-19.90309590,0.24417040,3.17421500
-19.90235990,0.25393720,2.68587400
-19.90162390,0.23928700,2.44170400
-19.90088790,0.23440360,3.17421500
-19.90015190,0.23440360,1.95336300
-19.89941590,0.23928700,3.66255600
-19.89867990,0.24905380,1.70919300
-19.89794390,0.24417040,3.41838600
-19.89720790,0.24417040,2.68587400
-19.89647190,0.23928700,1.70919300
-19.89573590,0.22463680,3.66255600
-19.89499990,0.22463680,2.93004500
-19.89426390,0.24905380,1.70919300
-19.89352790,0.23928700,2.44170400
-19.89279190,0.22463680,2.93004500
-19.89205590,0.23928700,3.17421500
-19.89131990,0.23440360,2.19753400
-19.89058390,0.24417040,1.95336300
-19.88984790,0.22952020,2.68587400
-19.88911190,0.25882070,2.68587400
-19.88837590,0.23928700,2.44170400
-19.88763990,0.23440360,2.68587400
-19.88690390,0.23928700,2.68587400
-19.88616790,0.23928700,3.90672700
-19.88543190,0.24417040,3.17421500
-19.88469590,0.23928700,2.44170400
-19.88395990,0.21487000,3.17421500
-19.88322390,0.21487000,3.17421500
-19.88248790,0.21975340,2.44170400
-19.88175190,0.22952020,2.68587400
-19.88101590,0.22463680,5.12757900
-19.88027990,0.22463680,3.90672700
-19.87954390,0.21975340,4.39506700
-19.87880790,0.23440360,2.44170400
-19.87807190,0.23928700,5.37174900
-19.87733590,0.24417040,4.63923800
-19.87659990,0.22463680,3.41838600
-19.87586390,0.22463680,4.63923800
-19.87512790,0.23928700,4.88340800
-19.87439190,0.21975340,3.90672700
-19.87365590,0.23928700,3.66255600
-19.87291990,0.22952020,3.66255600
-19.87218390,0.21975340,4.15089700
-19.87144790,0.21975340,2.93004500
-19.87071190,0.24417040,2.68587400
-19.86997590,0.25393720,2.93004500
-19.86923990,0.22952020,4.63923800
-19.86850390,0.25393720,5.12757900
-19.86776790,0.22952020,3.41838600
-19.86703190,0.26370410,4.39506700
-19.86629590,0.23440360,4.63923800
-19.86555990,0.23440360,1.22085200
-19.86482390,0.25882070,4.15089700
-19.86408790,0.22952020,3.41838600
-19.86335190,0.23928700,3.17421500
-19.86261590,0.23928700,3.66255600
-19.86187990,0.24417040,1.22085200
-19.86114390,0.23928700,3.41838600
-19.86040790,0.22952020,3.66255600
-19.85967190,0.24417040,5.12757900
-19.85893590,0.24417040,3.90672700
-19.85819990,0.24417040,2.44170400
-19.85746390,0.23928700,3.41838600
-19.85672790,0.22952020,4.15089700
-19.85599190,0.24417040,4.63923800
-19.85525590,0.21975340,3.90672700
-19.85451990,0.22952020,3.17421500
-19.85378390,0.23440360,2.44170400
-19.85304790,0.22463680,2.68587400
-19.85231190,0.22463680,2.68587400
-19.85157590,0.24905380,4.39506700
-19.85083990,0.24417040,2.68587400
-19.85010390,0.24905380,2.68587400
-19.84936790,0.25393720,2.93004500
-19.84863190,0.24417040,2.93004500
-19.84789590,0.25882070,3.41838600
-19.84715990,0.24417040,4.15089700
-19.84642390,0.25882070,3.90672700
-19.84568790,0.24905380,3.90672700
-19.84495190,0.26858750,4.39506700
-19.84421590,0.23440360,5.12757900
-19.84347990,0.25393720,4.88340800
-19.84274390,0.24905380,4.39506700
-19.84200790,0.23440360,2.68587400
-19.84127190,0.25882070,2.44170400
-19.84053590,0.25882070,3.41838600
