Time,Channel A,Channel B
(ms),(V),(mV)

-19.98779736,0.24417040,2.19753400
-19.98706136,0.23928700,2.68587400
-19.98632536,0.21975340,1.70919300
-19.98558936,0.22463680,2.19753400
-19.98485336,0.22463680,4.39506700
-19.98411736,0.23440360,2.19753400
-19.98338136,0.22952020,3.66255600
-19.98264536,0.20998660,2.93004500
-19.98190936,0.22952020,1.46502200
-19.98117336,0.20998660,1.22085200
-19.98043736,0.21975340,0.48834080
-19.97970136,0.21975340,2.19753400
-19.97896536,0.22952020,1.22085200
-19.97822936,0.23440360,1.70919300
-19.97749336,0.24905380,2.68587400
-19.97675736,0.24417040,1.46502200
-19.97602136,0.25393720,1.95336300
-19.97528536,0.25882070,2.68587400
-19.97454936,0.25393720,2.93004500
-19.97381336,0.26858750,3.41838600
-19.97307736,0.25882070,3.41838600
-19.97234136,0.28812110,2.68587400
-19.97160536,0.26858750,2.44170400
-19.97086936,0.26858750,2.93004500
-19.97013336,0.25393720,3.66255600
-19.96939736,0.25882070,1.95336300
-19.96866136,0.25882070,2.68587400
-19.96792536,0.24905380,1.70919300
-19.96718936,0.26370410,1.95336300
-19.96645336,0.24905380,2.68587400
-19.96571736,0.23440360,0.48834080
-19.96498136,0.25882070,2.68587400
-19.96424536,0.24417040,0.97668160
-19.96350936,0.23928700,1.70919300
-19.96277336,0.22952020,1.22085200
-19.96203736,0.22463680,0.48834080
-19.96130136,0.24417040,1.22085200
-19.96056536,0.22463680,1.46502200
-19.95982936,0.23440360,1.95336300
-19.95909336,0.24417040,0.48834080
-19.95835736,0.27835430,0.97668160
-19.95762136,0.26370410,2.68587400
-19.95688536,0.24417040,1.70919300
-19.95614936,0.25882070,1.46502200
-19.95541336,0.24417040,0.00000000
-19.95467736,0.26370410,2.44170400
-19.95394136,0.26858750,1.46502200
-19.95320536,0.26370410,3.17421500
-19.95246936,0.23928700,2.68587400
-19.95173336,0.24417040,1.95336300
-19.95099736,0.23928700,3.41838600
-19.95026136,0.21975340,2.44170400
-19.94952536,0.24417040,1.46502200
-19.94878936,0.23440360,2.68587400
-19.94805336,0.22952020,3.17421500
-19.94731736,0.20998660,1.46502200
-19.94658136,0.20998660,2.93004500
-19.94584536,0.22463680,2.19753400
-19.94510936,0.20998660,3.41838600
-19.94437336,0.22952020,3.66255600
-19.94363736,0.20021980,3.17421500
-19.94290136,0.22463680,3.41838600
-19.94216536,0.21975340,2.19753400
-19.94142936,0.21975340,2.93004500
-19.94069336,0.21975340,2.68587400
-19.93995736,0.22952020,3.66255600
-19.93922136,0.21487000,2.93004500
-19.93848536,0.21487000,2.68587400
-19.93774936,0.21975340,2.93004500
-19.93701336,0.21487000,4.88340800
-19.93627736,0.20510320,2.68587400
-19.93554136,0.20021980,3.66255600
-19.93480536,0.21487000,2.68587400
-19.93406936,0.21487000,1.22085200
-19.93333336,0.21487000,2.19753400
-19.93259736,0.21975340,2.44170400
-19.93186136,0.21975340,3.90672700
-19.93112536,0.20510320,2.44170400
-19.93038936,0.20021980,2.93004500
-19.92965336,0.22952020,2.93004500
-19.92891736,0.18556950,3.17421500
-19.92818136,0.21975340,3.90672700
-19.92744536,0.22952020,1.95336300
-19.92670936,0.21975340,1.95336300
-19.92597336,0.23928700,3.41838600
-19.92523736,0.21975340,1.70919300
-19.92450136,0.22463680,2.19753400
-19.92376536,0.24417040,1.70919300
-19.92302936,0.23440360,2.68587400
-19.92229336,0.21487000,2.44170400
-19.92155736,0.22952020,2.44170400
-19.92082136,0.23928700,3.41838600
-19.92008536,0.22952020,2.44170400
-19.91934936,0.22952020,3.17421500
-19.91861336,0.25393720,1.95336300
-19.91787736,0.23440360,3.90672700
-19.91714136,0.25393720,2.68587400
-19.91640536,0.23440360,3.66255600
-19.91566936,0.23440360,3.41838600
-19.91493336,0.24417040,2.68587400
-19.91419736,0.25393720,2.68587400
-19.91346136,0.25393720,2.93004500
-19.91272536,0.24417040,2.44170400
-19.91198936,0.26370410,1.70919300
-19.91125336,0.27347090,1.95336300
-19.91051736,0.24417040,3.41838600
-19.90978136,0.27835430,3.90672700
-19.90904536,0.26858750,3.41838600
-19.90830936,0.25882070,3.41838600
-19.90757336,0.25393720,2.44170400
-19.90683736,0.25393720,2.93004500
-19.90610136,0.25393720,2.19753400
-19.90536536,0.23440360,2.68587400
-19.90462936,0.25393720,1.22085200
-19.90389336,0.27835430,2.19753400
-19.90315736,0.24417040,2.93004500
-19.90242136,0.24905380,2.93004500
-19.90168536,0.22952020,2.68587400
-19.90094936,0.25393720,3.17421500
-19.90021336,0.22463680,1.22085200
-19.89947736,0.24417040,3.17421500
-19.89874136,0.23440360,2.93004500
-19.89800536,0.21975340,2.68587400
-19.89726936,0.24417040,1.46502200
-19.89653336,0.22952020,1.95336300
-19.89579736,0.21975340,3.90672700
-19.89506136,0.23440360,2.93004500
-19.89432536,0.23928700,1.46502200
-19.89358936,0.24905380,0.24417040
-19.89285336,0.23928700,2.44170400
-19.89211736,0.23440360,2.19753400
-19.89138136,0.22952020,2.44170400
-19.89064536,0.22952020,2.93004500
-19.88990936,0.21975340,1.95336300
-19.88917336,0.22952020,1.70919300
-19.88843736,0.22952020,2.44170400
-19.88770136,0.26370410,1.95336300
-19.88696536,0.25882070,3.41838600
-19.88622936,0.24417040,3.17421500
-19.88549336,0.25393720,2.19753400
-19.88475736,0.25393720,2.44170400
-19.88402136,0.24905380,3.41838600
-19.88328536,0.25393720,2.68587400
-19.88254936,0.23928700,3.17421500
-19.88181336,0.24905380,2.93004500
-19.88107736,0.23440360,2.68587400
-19.88034136,0.24417040,3.41838600
-19.87960536,0.24905380,1.70919300
-19.87886936,0.22952020,3.41838600
-19.87813336,0.24417040,2.44170400
-19.87739736,0.21975340,3.41838600
-19.87666136,0.23440360,3.66255600
-19.87592536,0.21487000,2.68587400
-19.87518936,0.23928700,2.68587400
-19.87445336,0.24417040,1.46502200
-19.87371736,0.23440360,3.66255600
-19.87298136,0.23440360,2.19753400
-19.87224536,0.23440360,0.73251120
-19.87150936,0.22952020,2.19753400
-19.87077336,0.23440360,2.44170400
-19.87003736,0.21975340,1.95336300
-19.86930136,0.21975340,2.68587400
-19.86856536,0.22952020,1.46502200
-19.86782936,0.21487000,1.46502200
-19.86709336,0.22463680,1.70919300
-19.86635736,0.23928700,0.97668160
-19.86562136,0.20998660,2.19753400
-19.86488536,0.21975340,1.46502200
-19.86414936,0.22463680,3.17421500
-19.86341336,0.20021980,1.70919300
-19.86267736,0.21487000,1.46502200
-19.86194136,0.20510320,3.17421500
-19.86120536,0.21487000,2.68587400
-19.86046936,0.19533630,1.95336300
-19.85973336,0.19533630,2.44170400
-19.85899736,0.21487000,2.19753400
-19.85826136,0.20021980,3.66255600
-19.85752536,0.20021980,2.44170400
-19.85678936,0.20998660,2.19753400
-19.85605336,0.22463680,1.46502200
-19.85531736,0.21487000,4.15089700
-19.85458136,0.22463680,1.95336300
-19.85384536,0.21975340,3.66255600
-19.85310936,0.20021980,1.95336300
-19.85237336,0.21975340,2.19753400
-19.85163736,0.22463680,1.46502200
-19.85090136,0.22952020,2.44170400
-19.85016536,0.22463680,2.68587400
-19.84942936,0.22952020,2.93004500
-19.84869336,0.20998660,0.73251120
-19.84795736,0.22463680,0.97668160
-19.84722136,0.22463680,1.70919300
-19.84648536,0.21487000,1.22085200
-19.84574936,0.21975340,1.22085200
-19.84501336,0.22463680,1.46502200
-19.84427736,0.22463680,0.97668160
-19.84354136,0.22952020,0.73251120
-19.84280536,0.21487000,0.97668160
-19.84206936,0.21975340,1.70919300
-19.84133336,0.22952020,0.48834080
-19.84059736,0.22463680,0.48834080
