Time,Channel A,Channel B
(ms),(V),(mV)

-19.98826116,0.24905380,2.44170400
-19.98752516,0.23928700,3.90672700
-19.98678916,0.24417040,3.66255600
-19.98605316,0.23928700,2.68587400
-19.98531716,0.23928700,1.95336300
-19.98458116,0.25393720,4.15089700
-19.98384516,0.22952020,2.44170400
-19.98310916,0.24417040,0.73251120
-19.98237316,0.22463680,1.70919300
-19.98163716,0.21487000,2.93004500
-19.98090116,0.21975340,3.17421500
-19.98016516,0.23928700,3.41838600
-19.97942916,0.21975340,4.15089700
-19.97869316,0.22463680,2.68587400
-19.97795716,0.23440360,2.93004500
-19.97722116,0.23440360,2.44170400
-19.97648516,0.22952020,1.95336300
-19.97574916,0.21975340,1.70919300
-19.97501316,0.21975340,2.19753400
-19.97427716,0.22952020,2.68587400
-19.97354116,0.20998660,3.17421500
-19.97280516,0.21487000,3.90672700
-19.97206916,0.21975340,2.93004500
-19.97133316,0.21487000,2.93004500
-19.97059716,0.22952020,2.93004500
-19.96986116,0.21975340,1.95336300
-19.96912516,0.24417040,3.90672700
-19.96838916,0.24417040,1.95336300
-19.96765316,0.21487000,2.19753400
-19.96691716,0.21487000,2.93004500
-19.96618116,0.21487000,2.93004500
-19.96544516,0.21975340,4.63923800
-19.96470916,0.21487000,3.66255600
-19.96397316,0.21975340,2.19753400
-19.96323716,0.21487000,2.68587400
-19.96250116,0.21975340,2.44170400
-19.96176516,0.21487000,3.41838600
-19.96102916,0.22952020,2.93004500
-19.96029316,0.22463680,2.68587400
-19.95955716,0.24905380,3.17421500
-19.95882116,0.24417040,3.41838600
-19.95808516,0.23440360,2.44170400
-19.95734916,0.23440360,1.46502200
-19.95661316,0.24905380,2.93004500
-19.95587716,0.24417040,3.17421500
-19.95514116,0.25393720,0.97668160
-19.95440516,0.23440360,2.19753400
-19.95366916,0.24417040,0.97668160
-19.95293316,0.23928700,2.44170400
-19.95219716,0.24417040,1.70919300
-19.95146116,0.23440360,2.44170400
-19.95072516,0.23440360,3.17421500
-19.94998916,0.22952020,1.95336300
-19.94925316,0.23440360,3.17421500
-19.94851716,0.23928700,1.95336300
-19.94778116,0.21487000,2.68587400
-19.94704516,0.21487000,4.39506700
-19.94630916,0.22463680,2.44170400
-19.94557316,0.22463680,3.66255600
-19.94483716,0.21975340,3.90672700
-19.94410116,0.21487000,2.68587400
-19.94336516,0.21487000,4.39506700
-19.94262916,0.21975340,2.68587400
-19.94189316,0.20510320,2.93004500
-19.94115716,0.20998660,1.22085200
-19.94042116,0.20998660,2.68587400
-19.93968516,0.20510320,2.68587400
-19.93894916,0.22952020,2.68587400
-19.93821316,0.20510320,2.68587400
-19.93747716,0.21975340,3.17421500
-19.93674116,0.21487000,1.95336300
-19.93600516,0.22952020,2.44170400
-19.93526916,0.20998660,2.68587400
-19.93453316,0.21975340,2.93004500
-19.93379716,0.22952020,2.68587400
-19.93306116,0.21487000,3.41838600
-19.93232516,0.23928700,1.95336300
-19.93158916,0.23440360,1.95336300
-19.93085316,0.23928700,1.70919300
-19.93011716,0.23440360,2.68587400
-19.92938116,0.23440360,2.68587400
-19.92864516,0.23440360,2.44170400
-19.92790916,0.24417040,2.68587400
-19.92717316,0.24905380,2.19753400
-19.92643716,0.23928700,1.46502200
-19.92570116,0.21975340,2.19753400
-19.92496516,0.23440360,2.68587400
-19.92422916,0.20510320,1.46502200
-19.92349316,0.22463680,2.44170400
-19.92275716,0.22463680,0.48834080
-19.92202116,0.22952020,1.70919300
-19.92128516,0.21487000,3.90672700
-19.92054916,0.22463680,1.95336300
-19.91981316,0.20998660,3.90672700
-19.91907716,0.21975340,2.44170400
-19.91834116,0.20510320,2.68587400
-19.91760516,0.21487000,3.66255600
-19.91686916,0.20998660,2.19753400
-19.91613316,0.20998660,1.95336300
-19.91539716,0.20998660,2.93004500
-19.91466116,0.21975340,3.66255600
-19.91392516,0.21487000,2.93004500
-19.91318916,0.23440360,3.41838600
-19.91245316,0.24417040,3.66255600
-19.91171716,0.22463680,2.68587400
-19.91098116,0.21487000,3.41838600
-19.91024516,0.23440360,3.41838600
-19.90950916,0.20998660,3.17421500
-19.90877316,0.23440360,3.17421500
-19.90803716,0.24417040,1.70919300
-19.90730116,0.24417040,1.46502200
-19.90656516,0.24417040,2.93004500
-19.90582916,0.23928700,3.41838600
-19.90509316,0.23928700,3.41838600
-19.90435716,0.24905380,3.41838600
-19.90362116,0.25393720,2.93004500
-19.90288516,0.25393720,4.15089700
-19.90214916,0.24905380,3.41838600
-19.90141316,0.22952020,3.41838600
-19.90067716,0.24417040,3.66255600
-19.89994116,0.23440360,1.70919300
-19.89920516,0.23440360,4.15089700
-19.89846916,0.24905380,3.66255600
-19.89773316,0.24905380,2.68587400
-19.89699716,0.23928700,2.93004500
-19.89626116,0.24417040,3.41838600
-19.89552516,0.26370410,4.15089700
-19.89478916,0.25882070,3.41838600
-19.89405316,0.23928700,2.44170400
-19.89331716,0.25393720,3.41838600
-19.89258116,0.23440360,1.95336300
-19.89184516,0.24417040,2.68587400
-19.89110916,0.23928700,3.17421500
-19.89037316,0.26370410,2.19753400
-19.88963716,0.25882070,4.39506700
-19.88890116,0.25882070,2.44170400
-19.88816516,0.25882070,2.68587400
-19.88742916,0.26370410,2.44170400
-19.88669316,0.26858750,2.68587400
-19.88595716,0.27835430,4.39506700
-19.88522116,0.26370410,4.15089700
-19.88448516,0.23928700,2.93004500
-19.88374916,0.25882070,4.15089700
-19.88301316,0.23928700,2.93004500
-19.88227716,0.23928700,2.68587400
-19.88154116,0.22952020,2.93004500
-19.88080516,0.23440360,4.39506700
-19.88006916,0.23928700,3.90672700
-19.87933316,0.22463680,2.68587400
-19.87859716,0.22952020,3.66255600
-19.87786116,0.22952020,2.68587400
-19.87712516,0.23440360,3.17421500
-19.87638916,0.22952020,2.68587400
-19.87565316,0.24417040,3.17421500
-19.87491716,0.25393720,2.93004500
-19.87418116,0.27347090,2.44170400
-19.87344516,0.25393720,3.17421500
-19.87270916,0.25393720,3.41838600
-19.87197316,0.25393720,2.44170400
-19.87123716,0.25882070,3.17421500
-19.87050116,0.23928700,2.19753400
-19.86976516,0.23928700,3.41838600
-19.86902916,0.27347090,4.63923800
-19.86829316,0.24905380,2.19753400
-19.86755716,0.23440360,2.68587400
-19.86682116,0.23928700,3.90672700
-19.86608516,0.24905380,1.46502200
-19.86534916,0.24417040,1.46502200
-19.86461316,0.25393720,2.68587400
-19.86387716,0.24417040,1.95336300
-19.86314116,0.21975340,0.73251120
-19.86240516,0.22463680,2.68587400
-19.86166916,0.24417040,4.39506700
-19.86093316,0.21487000,1.70919300
-19.86019716,0.24417040,3.66255600
-19.85946116,0.23928700,2.93004500
-19.85872516,0.25882070,3.66255600
-19.85798916,0.24417040,2.93004500
-19.85725316,0.25882070,2.68587400
-19.85651716,0.22952020,2.93004500
-19.85578116,0.23928700,2.44170400
-19.85504516,0.23928700,3.41838600
-19.85430916,0.23440360,4.88340800
-19.85357316,0.22952020,4.15089700
-19.85283716,0.22952020,3.17421500
-19.85210116,0.25393720,3.90672700
-19.85136516,0.25882070,4.63923800
-19.85062916,0.25393720,3.41838600
-19.84989316,0.24417040,2.19753400
-19.84915716,0.27835430,3.90672700
-19.84842116,0.25393720,2.93004500
-19.84768516,0.23928700,4.15089700
-19.84694916,0.21487000,1.70919300
-19.84621316,0.25393720,1.22085200
-19.84547716,0.25393720,2.44170400
-19.84474116,0.23928700,3.17421500
-19.84400516,0.24417040,3.17421500
-19.84326916,0.24905380,3.17421500
-19.84253316,0.23928700,2.44170400
-19.84179716,0.23928700,2.19753400
-19.84106116,0.21487000,4.63923800
