Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.00000000,11.11394000,-51.03318000
0.00047684,3.13427100,-53.36308000
0.00095367,-3.51562500,-56.81170000
0.00143051,-2.28581700,-60.42775000
0.00190735,-10.44083000,-65.10506000
0.00238419,-24.31330000,-67.96764000
0.00286102,-15.37867000,-60.04535000
0.00333786,-17.41848000,-59.53963000
0.00381470,-26.96971000,-66.43043000
0.00429153,-22.52363000,-60.09480000
0.00476837,-21.97342000,-60.89485000
0.00524521,-26.35685000,-69.46740000
0.00572205,-27.04476000,-69.17023000
0.00619888,-25.59035000,-69.01178000
0.00667572,-27.19073000,-61.15613000
0.00715256,-28.53906000,-68.01601000
0.00762939,-28.72101000,-62.32906000
0.00810623,-28.77631000,-61.63354000
0.00858307,-33.14542000,-69.23141000
0.00905991,-29.17955000,-62.99533000
0.00953674,-29.75555000,-65.24843000
0.01001358,-32.89444000,-64.40107000
0.01049042,-32.12756000,-64.75671000
0.01096725,-31.40036000,-68.82022000
0.01144409,-33.89887000,-63.68662000
0.01192093,-34.59635000,-72.79044000
0.01239777,-35.11040000,-68.77138000
0.01287460,-32.77000000,-65.12138000
0.01335144,-34.79142000,-70.46249000
0.01382828,-36.44938000,-63.88115000
0.01430511,-34.89503000,-65.27556000
0.01478195,-34.44787000,-69.51230000
0.01525879,-39.07662000,-67.94514000
0.01573563,-35.80780000,-74.82594000
0.01621246,-38.00334000,-65.86999000
0.01668930,-36.26925000,-61.70410000
0.01716614,-37.71999000,-65.14037000
0.01764297,-39.11010000,-69.46394000
0.01811981,-38.66238000,-64.26440000
0.01859665,-38.83134000,-66.08432000
0.01907349,-42.09418000,-69.54767000
0.01955032,-38.37148000,-65.86737000
0.02002716,-41.15926000,-63.32313000
0.02050400,-39.25588000,-68.81218000
0.02098083,-39.72811000,-72.10474000
0.02145767,-40.63574000,-68.47676000
0.02193451,-40.71659000,-72.71857000
0.02241135,-40.51621000,-73.75163000
0.02288818,-46.57497000,-75.38321000
0.02336502,-40.76957000,-67.30975000
0.02384186,-40.17250000,-63.98497000
0.02431870,-45.89383000,-100.05390000
0.02479553,-42.27583000,-68.88712000
0.02527237,-43.17516000,-68.34671000
0.02574921,-41.10937000,-79.69031000
0.02622604,-44.03041000,-69.78039000
0.02670288,-42.85263000,-67.04533000
0.02717972,-45.46724000,-77.33520000
0.02765656,-41.68534000,-70.82375000
0.02813339,-44.61288000,-77.41351000
0.02861023,-47.33208000,-70.85000000
0.02908707,-44.82701000,-69.67038000
0.02956390,-46.52018000,-72.16460000
0.03004074,-44.31416000,-67.46142000
0.03051758,-48.44216000,-73.66779000
0.03099442,-44.84086000,-73.74249000
0.03147125,-46.30095000,-75.87802000
0.03194809,-47.06568000,-70.33517000
0.03242493,-44.48272000,-66.41606000
0.03290176,-46.40823000,-81.16988000
0.03337860,-46.32816000,-69.45303000
0.03385544,-47.10976000,-66.58530000
0.03433228,-46.84639000,-89.19242000
0.03480911,-47.39178000,-68.58181000
0.03528595,-53.82716000,-76.67587000
0.03576279,-45.61146000,-73.56330000
0.03623962,-48.01341000,-90.81754000
0.03671646,-48.65221000,-69.71718000
0.03719330,-47.50096000,-65.45154000
0.03767014,-47.65874000,-70.52730000
0.03814697,-48.44592000,-81.93878000
0.03862381,-46.24890000,-68.37041000
0.03910065,-55.23498000,-70.11445000
0.03957748,-46.48472000,-80.99960000
0.04005432,-51.05240000,-77.97174000
0.04053116,-48.34361000,-75.03134000
0.04100800,-46.20029000,-70.67391000
0.04148483,-45.62352000,-84.42059000
0.04196167,-54.79280000,-74.04937000
0.04243851,-51.16363000,-72.45441000
0.04291534,-48.74994000,-77.45369000
0.04339218,-46.22519000,-74.88841000
0.04386902,-56.86837000,-74.65646000
0.04434586,-49.19085000,-89.22563000
0.04482269,-48.94140000,-72.65203000
0.04529953,-51.16295000,-70.96060000
0.04577637,-51.74989000,-71.35175000
0.04625320,-53.72878000,-73.93745000
0.04673004,-52.77398000,-73.07511000
0.04720688,-48.29469000,-84.12354000
0.04768372,-52.33688000,-71.80608000
0.04816055,-49.62972000,-68.88194000
0.04863739,-56.25902000,-74.60555000
0.04911423,-51.79247000,-75.32584000
0.04959106,-53.53305000,-69.67710000
0.05006790,-52.49244000,-74.08367000
0.05054474,-57.23872000,-80.11810000
0.05102158,-53.39246000,-83.20442000
0.05149841,-54.37714000,-69.45457000
0.05197525,-52.58070000,-72.31098000
0.05245209,-56.32431000,-88.71623000
0.05292892,-50.54746000,-73.21513000
0.05340576,-60.04592000,-70.05629000
0.05388260,-55.52356000,-76.91895000
0.05435944,-49.63533000,-72.40290000
0.05483627,-50.44436000,-76.55859000
0.05531311,-55.56434000,-72.19129000
0.05578995,-59.62926000,-71.50481000
0.05626678,-52.50850000,-85.33256000
0.05674362,-59.03887000,-72.16885000
0.05722046,-49.65427000,-75.89200000
0.05769730,-52.66125000,-74.99467000
0.05817413,-55.35307000,-73.17606000
0.05865097,-52.90276000,-74.73746000
0.05912781,-57.63853000,-96.54675000
0.05960464,-59.45919000,-74.45266000
0.06008148,-53.99990000,-74.74318000
0.06055832,-54.41457000,-76.51477000
0.06103516,-59.93782000,-78.92846000
0.06151199,-53.83705000,-74.22324000
0.06198883,-53.24480000,-82.14694000
0.06246567,-58.32568000,-75.17096000
0.06294250,-55.86591000,-73.99935000
0.06341934,-57.36688000,-82.54311000
0.06389618,-53.13478000,-77.85910000
0.06437302,-54.83454000,-78.35604000
0.06484985,-56.58581000,-76.53603000
0.06532669,-54.84394000,-73.23752000
0.06580353,-58.92372000,-80.27813000
0.06628036,-56.87277000,-79.12164000
0.06675720,-56.70072000,-74.28886000
0.06723404,-52.09221000,-74.02278000
0.06771088,-60.63377000,-87.90175000
0.06818771,-55.27353000,-72.05920000
0.06866455,-51.36662000,-77.86622000
0.06914139,-50.86478000,-79.28289000
0.06961823,-64.36807000,-76.32355000
0.07009506,-57.37758000,-77.21457000
0.07057190,-57.82909000,-84.96548000
0.07104874,-55.63510000,-74.94335000
0.07152557,-56.35778000,-84.14242000
0.07200241,-55.75890000,-80.69935000
0.07247925,-57.82013000,-81.63654000
0.07295609,-58.44885000,-77.74730000
0.07343292,-60.49289000,-72.31667000
0.07390976,-55.67828000,-80.83169000
0.07438660,-59.26910000,-82.38632000
0.07486343,-66.87157000,-73.16926000
0.07534027,-55.32650000,-77.46654000
0.07581711,-58.73423000,-81.33984000
0.07629395,-55.52419000,-81.69867000
0.07677078,-55.42537000,-80.04846000
0.07724762,-58.98133000,-75.87307000
0.07772446,-59.85012000,-81.23207000
0.07820129,-57.61801000,-78.54725000
0.07867813,-58.77161000,-81.57703000
0.07915497,-59.86584000,-82.83436000
0.07963181,-55.94833000,-76.04158000
0.08010864,-59.88993000,-82.25406000
0.08058548,-61.43092000,-74.66209000
0.08106232,-54.68037000,-78.14179000
0.08153915,-59.01596000,-77.87435000
