Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.00000000,11.09940000,-49.08463000
0.00047684,3.11572300,-53.98706000
0.00095367,-3.46296000,-63.99657000
0.00143051,-2.26196300,-65.52339000
0.00190735,-10.22158000,-74.95778000
0.00238419,-25.35216000,-58.20631000
0.00286102,-15.14916000,-59.73494000
0.00333786,-17.29341000,-67.51948000
0.00381470,-26.88548000,-59.40218000
0.00429153,-22.53403000,-63.02089000
0.00476837,-21.74545000,-66.66637000
0.00524521,-25.35257000,-68.95362000
0.00572205,-27.88504000,-63.22827000
0.00619888,-25.29532000,-68.02677000
0.00667572,-26.08478000,-68.64478000
0.00715256,-29.79430000,-60.24556000
0.00762939,-28.56153000,-58.80823000
0.00810623,-29.42340000,-75.15439000
0.00858307,-29.85468000,-63.51955000
0.00905991,-32.12521000,-67.85529000
0.00953674,-30.70478000,-67.00166000
0.01001358,-31.46925000,-75.42820000
0.01049042,-32.00618000,-64.67297000
0.01096725,-33.48917000,-63.01247000
0.01144409,-32.65725000,-62.30320000
0.01192093,-33.02933000,-75.56718000
0.01239777,-34.15794000,-64.09924000
0.01287460,-34.68752000,-72.42292000
0.01335144,-35.35043000,-69.48560000
0.01382828,-35.15057000,-65.53920000
0.01430511,-35.77824000,-66.93198000
0.01478195,-35.45269000,-80.56166000
0.01525879,-36.61279000,-64.34474000
0.01573563,-36.94776000,-64.30292000
0.01621246,-36.57977000,-81.51050000
0.01668930,-40.58143000,-63.66203000
0.01716614,-39.16754000,-68.48573000
0.01764297,-37.55663000,-66.82005000
0.01811981,-35.91078000,-65.98450000
0.01859665,-38.29502000,-73.39481000
0.01907349,-45.23473000,-72.49400000
0.01955032,-38.18195000,-69.99438000
0.02002716,-38.87952000,-64.80369000
0.02050400,-37.71852000,-66.65485000
0.02098083,-40.56864000,-73.94695000
0.02145767,-42.33271000,-72.36021000
0.02193451,-40.63638000,-70.05818000
0.02241135,-41.92349000,-68.54491000
0.02288818,-39.61899000,-70.66056000
0.02336502,-42.95038000,-71.88908000
0.02384186,-42.59253000,-72.05629000
0.02431870,-41.38586000,-68.58315000
0.02479553,-41.97441000,-67.19717000
0.02527237,-42.39174000,-63.83753000
0.02574921,-42.40403000,-69.44861000
0.02622604,-43.33814000,-102.32720000
0.02670288,-45.22686000,-68.05976000
0.02717972,-45.52828000,-71.12841000
0.02765656,-46.72836000,-71.02626000
0.02813339,-43.92449000,-72.89108000
0.02861023,-45.89428000,-81.66695000
0.02908707,-47.29031000,-69.31494000
0.02956390,-42.50147000,-65.43804000
0.03004074,-44.11585000,-69.75731000
0.03051758,-45.40687000,-63.12365000
0.03099442,-45.03351000,-66.98785000
0.03147125,-48.45493000,-74.82680000
0.03194809,-44.61615000,-69.41289000
0.03242493,-45.33258000,-70.81163000
0.03290176,-45.03404000,-80.86311000
0.03337860,-47.19852000,-76.15249000
0.03385544,-47.11362000,-74.75124000
0.03433228,-53.00586000,-74.86514000
0.03480911,-45.80826000,-68.41527000
0.03528595,-47.52487000,-73.33152000
0.03576279,-46.76052000,-68.67216000
0.03623962,-47.94203000,-67.71111000
0.03671646,-48.34159000,-73.97045000
0.03719330,-48.06256000,-73.87878000
0.03767014,-48.20349000,-73.20284000
0.03814697,-53.06010000,-70.39782000
0.03862381,-49.49471000,-69.07613000
0.03910065,-46.54119000,-76.60686000
0.03957748,-49.78262000,-71.23267000
0.04005432,-49.17509000,-71.80941000
0.04053116,-47.86596000,-66.93703000
0.04100800,-55.21384000,-70.77108000
0.04148483,-49.39595000,-67.68744000
0.04196167,-48.17275000,-77.10153000
0.04243851,-51.09275000,-75.78498000
0.04291534,-51.51097000,-82.72088000
0.04339218,-51.32344000,-70.55807000
0.04386902,-52.23016000,-72.83231000
0.04434586,-48.93806000,-79.60661000
0.04482269,-51.81421000,-80.67641000
0.04529953,-54.60303000,-84.52084000
0.04577637,-48.04173000,-75.04199000
0.04625320,-47.66541000,-78.45078000
0.04673004,-54.55605000,-74.74453000
0.04720688,-51.76819000,-70.33202000
0.04768372,-51.79804000,-74.02169000
0.04816055,-55.99936000,-83.15212000
0.04863739,-54.54273000,-72.02582000
0.04911423,-54.68832000,-83.62215000
0.04959106,-51.26141000,-71.97127000
0.05006790,-52.63351000,-71.86294000
0.05054474,-51.04709000,-91.14293000
0.05102158,-67.95580000,-71.77342000
0.05149841,-49.96761000,-75.05120000
0.05197525,-50.69424000,-82.29692000
0.05245209,-53.82742000,-82.83569000
0.05292892,-53.76112000,-76.62787000
0.05340576,-54.75615000,-73.93887000
0.05388260,-54.08918000,-74.35366000
0.05435944,-52.49990000,-73.17029000
0.05483627,-54.26908000,-76.79391000
0.05531311,-55.94433000,-69.49601000
0.05578995,-51.45225000,-85.87691000
0.05626678,-51.24128000,-75.09518000
0.05674362,-54.78862000,-74.66271000
0.05722046,-57.86612000,-71.59190000
0.05769730,-54.24698000,-77.37067000
0.05817413,-50.76809000,-72.75823000
0.05865097,-55.31195000,-75.67825000
0.05912781,-59.36947000,-77.04856000
0.05960464,-50.49824000,-78.11456000
0.06008148,-54.42204000,-71.51256000
0.06055832,-56.82688000,-73.20206000
0.06103516,-58.23994000,-76.10007000
0.06151199,-50.91789000,-72.53100000
0.06198883,-57.63931000,-78.65881000
0.06246567,-55.56030000,-84.32953000
0.06294250,-71.00207000,-75.78935000
0.06341934,-53.74857000,-90.07522000
0.06389618,-55.96714000,-78.42055000
0.06437302,-64.87987000,-79.02533000
0.06484985,-53.50018000,-72.55635000
0.06532669,-52.47099000,-74.94704000
0.06580353,-56.96204000,-74.69497000
0.06628036,-59.76609000,-74.47523000
0.06675720,-50.63813000,-76.75941000
0.06723404,-53.99631000,-74.11189000
0.06771088,-58.08251000,-80.25043000
0.06818771,-58.11140000,-79.62653000
0.06866455,-58.16146000,-80.75352000
0.06914139,-59.24371000,-75.72914000
0.06961823,-52.89342000,-73.84678000
0.07009506,-64.11891000,-83.12437000
0.07057190,-54.87266000,-72.47903000
0.07104874,-52.44477000,-73.04337000
0.07152557,-80.30211000,-84.89697000
0.07200241,-54.62877000,-78.89707000
0.07247925,-57.47581000,-77.14890000
0.07295609,-56.83791000,-74.45639000
0.07343292,-60.67420000,-79.57247000
0.07390976,-59.10907000,-79.37062000
0.07438660,-57.69993000,-75.54928000
0.07486343,-51.85955000,-86.77304000
0.07534027,-53.15186000,-81.69228000
0.07581711,-63.73903000,-77.20636000
0.07629395,-54.59917000,-72.53889000
0.07677078,-66.03079000,-75.73556000
0.07724762,-59.54101000,-74.66365000
0.07772446,-56.38848000,-82.62500000
0.07820129,-58.57338000,-77.79115000
0.07867813,-57.83464000,-79.96998000
0.07915497,-56.68991000,-78.22316000
0.07963181,-60.80801000,-87.05217000
0.08010864,-58.72166000,-76.31593000
0.08058548,-62.27806000,-77.11827000
0.08106232,-59.01224000,-74.53629000
0.08153915,-56.76812000,-74.01604000
