Time,Channel A,Channel B
(ms),(V),(mV)

-19.98769864,0.20998660,1.70919300
-19.98696264,0.21975340,4.39506700
-19.98622664,0.22463680,3.17421500
-19.98549064,0.21487000,3.90672700
-19.98475464,0.20998660,1.95336300
-19.98401864,0.22463680,1.95336300
-19.98328264,0.21975340,2.44170400
-19.98254664,0.23440360,1.70919300
-19.98181064,0.22463680,3.17421500
-19.98107464,0.21975340,3.17421500
-19.98033864,0.21975340,2.19753400
-19.97960264,0.22952020,2.19753400
-19.97886664,0.21975340,2.68587400
-19.97813064,0.20510320,1.70919300
-19.97739464,0.20998660,3.17421500
-19.97665864,0.22952020,2.44170400
-19.97592264,0.21487000,3.41838600
-19.97518664,0.21487000,2.19753400
-19.97445064,0.22463680,2.93004500
-19.97371464,0.20998660,2.93004500
-19.97297864,0.23440360,3.41838600
-19.97224264,0.22952020,2.68587400
-19.97150664,0.23440360,2.19753400
-19.97077064,0.23928700,2.93004500
-19.97003464,0.22463680,3.90672700
-19.96929864,0.23440360,4.39506700
-19.96856264,0.22952020,5.12757900
-19.96782664,0.22952020,2.44170400
-19.96709064,0.23928700,1.46502200
-19.96635464,0.22952020,1.70919300
-19.96561864,0.23440360,2.44170400
-19.96488264,0.23928700,4.15089700
-19.96414664,0.24905380,3.90672700
-19.96341064,0.25393720,2.19753400
-19.96267464,0.22952020,2.19753400
-19.96193864,0.23440360,3.90672700
-19.96120264,0.22952020,3.90672700
-19.96046664,0.22952020,2.44170400
-19.95973064,0.22952020,2.68587400
-19.95899464,0.21487000,2.19753400
-19.95825864,0.22952020,2.93004500
-19.95752264,0.22952020,3.90672700
-19.95678664,0.22952020,2.93004500
-19.95605064,0.21487000,2.19753400
-19.95531464,0.21975340,1.95336300
-19.95457864,0.20510320,2.44170400
-19.95384264,0.20998660,3.17421500
-19.95310664,0.23440360,3.17421500
-19.95237064,0.20998660,2.19753400
-19.95163464,0.22952020,2.93004500
-19.95089864,0.22463680,2.44170400
-19.95016264,0.22463680,2.44170400
-19.94942664,0.22952020,3.41838600
-19.94869064,0.22952020,1.95336300
-19.94795464,0.22952020,2.93004500
-19.94721864,0.22463680,2.68587400
-19.94648264,0.22952020,2.68587400
-19.94574664,0.22463680,2.68587400
-19.94501064,0.22952020,1.95336300
-19.94427464,0.23440360,2.68587400
-19.94353864,0.24417040,2.19753400
-19.94280264,0.26370410,1.70919300
-19.94206664,0.25393720,0.48834080
-19.94133064,0.22952020,1.70919300
-19.94059464,0.25393720,2.68587400
-19.93985864,0.23928700,2.19753400
-19.93912264,0.23928700,2.68587400
-19.93838664,0.21975340,1.46502200
-19.93765064,0.23440360,2.19753400
-19.93691464,0.22952020,1.95336300
-19.93617864,0.23440360,2.44170400
-19.93544264,0.22463680,1.46502200
-19.93470664,0.21487000,1.95336300
-19.93397064,0.21487000,2.19753400
-19.93323464,0.20021980,2.44170400
-19.93249864,0.22463680,2.68587400
-19.93176264,0.22952020,4.88340800
-19.93102664,0.21487000,3.41838600
-19.93029064,0.20998660,4.15089700
-19.92955464,0.20510320,2.93004500
-19.92881864,0.22463680,2.44170400
-19.92808264,0.19533630,4.88340800
-19.92734664,0.19533630,4.39506700
-19.92661064,0.20021980,4.63923800
-19.92587464,0.21487000,4.15089700
-19.92513864,0.23928700,4.63923800
-19.92440264,0.20998660,3.17421500
-19.92366664,0.20998660,3.17421500
-19.92293064,0.22463680,3.41838600
-19.92219464,0.22463680,3.41838600
-19.92145864,0.23440360,3.17421500
-19.92072264,0.22463680,2.68587400
-19.91998664,0.21975340,3.17421500
-19.91925064,0.22463680,0.48834080
-19.91851464,0.21975340,2.19753400
-19.91777864,0.21975340,0.24417040
-19.91704264,0.23440360,0.73251120
-19.91630664,0.22463680,0.97668160
-19.91557064,0.22463680,0.73251120
-19.91483464,0.22463680,1.95336300
-19.91409864,0.22463680,1.22085200
-19.91336264,0.21975340,1.95336300
-19.91262664,0.21487000,1.95336300
-19.91189064,0.24417040,3.17421500
-19.91115464,0.22463680,3.17421500
-19.91041864,0.21487000,1.95336300
-19.90968264,0.20021980,0.73251120
-19.90894664,0.21975340,0.73251120
-19.90821064,0.21975340,1.95336300
-19.90747464,0.21487000,2.93004500
-19.90673864,0.21487000,1.70919300
-19.90600264,0.23440360,4.39506700
-19.90526664,0.22952020,2.93004500
-19.90453064,0.21975340,2.19753400
-19.90379464,0.23928700,0.97668160
-19.90305864,0.21975340,3.17421500
-19.90232264,0.20998660,3.17421500
-19.90158664,0.19045290,2.68587400
-19.90085064,0.22952020,1.95336300
-19.90011464,0.21487000,0.97668160
-19.89937864,0.21975340,2.44170400
-19.89864264,0.23440360,3.17421500
-19.89790664,0.20510320,2.19753400
-19.89717064,0.21487000,3.41838600
-19.89643464,0.22463680,2.68587400
-19.89569864,0.20510320,3.41838600
-19.89496264,0.21487000,3.66255600
-19.89422664,0.21487000,4.39506700
-19.89349064,0.20998660,4.39506700
-19.89275464,0.19533630,2.68587400
-19.89201864,0.21487000,2.68587400
-19.89128264,0.21975340,3.90672700
-19.89054664,0.23440360,3.66255600
-19.88981064,0.23440360,3.41838600
-19.88907464,0.23440360,2.68587400
-19.88833864,0.22952020,4.63923800
-19.88760264,0.22463680,3.41838600
-19.88686664,0.21487000,3.41838600
-19.88613064,0.23440360,2.19753400
-19.88539464,0.23440360,3.66255600
-19.88465864,0.23928700,4.39506700
-19.88392264,0.25393720,3.17421500
-19.88318664,0.22952020,2.68587400
-19.88245064,0.21975340,2.68587400
-19.88171464,0.23928700,2.44170400
-19.88097864,0.23928700,3.90672700
-19.88024264,0.24905380,3.17421500
-19.87950664,0.25882070,1.70919300
-19.87877064,0.24905380,1.70919300
-19.87803464,0.25882070,4.15089700
-19.87729864,0.25882070,4.15089700
-19.87656264,0.27347090,3.90672700
-19.87582664,0.27835430,3.17421500
-19.87509064,0.25882070,1.46502200
-19.87435464,0.24417040,2.93004500
-19.87361864,0.25882070,3.90672700
-19.87288264,0.25882070,4.63923800
-19.87214664,0.23440360,3.17421500
-19.87141064,0.24417040,3.66255600
-19.87067464,0.23440360,2.68587400
-19.86993864,0.26370410,2.93004500
-19.86920264,0.23440360,4.39506700
-19.86846664,0.22952020,3.66255600
-19.86773064,0.20021980,1.22085200
-19.86699464,0.22463680,3.41838600
-19.86625864,0.20998660,2.68587400
-19.86552264,0.20998660,4.15089700
-19.86478664,0.20510320,2.44170400
-19.86405064,0.21487000,4.39506700
-19.86331464,0.20510320,2.19753400
-19.86257864,0.21975340,3.17421500
-19.86184264,0.20510320,3.41838600
-19.86110664,0.23440360,1.22085200
-19.86037064,0.22463680,1.22085200
-19.85963464,0.21975340,2.93004500
-19.85889864,0.21487000,2.68587400
-19.85816264,0.21487000,2.44170400
-19.85742664,0.22463680,3.17421500
-19.85669064,0.22952020,3.41838600
-19.85595464,0.21487000,2.68587400
-19.85521864,0.21487000,2.93004500
-19.85448264,0.21975340,3.41838600
-19.85374664,0.20998660,3.41838600
-19.85301064,0.23928700,2.44170400
-19.85227464,0.22952020,3.90672700
-19.85153864,0.22952020,4.15089700
-19.85080264,0.21975340,4.63923800
-19.85006664,0.23440360,2.93004500
-19.84933064,0.21975340,3.17421500
-19.84859464,0.21975340,3.66255600
-19.84785864,0.20510320,4.39506700
-19.84712264,0.21975340,4.15089700
-19.84638664,0.20998660,3.66255600
-19.84565064,0.22463680,4.88340800
-19.84491464,0.20510320,3.90672700
-19.84417864,0.21487000,2.93004500
-19.84344264,0.21487000,3.90672700
-19.84270664,0.18068610,4.15089700
-19.84197064,0.20998660,5.61592000
-19.84123464,0.20998660,3.90672700
-19.84049864,0.20510320,4.63923800
