MIN=0	0	-3	0	-3
MAX=1280	1	3	1	3
SCALE=1280	0,5	1	0,5	1
DEC=1	0	3	0	3
DEF="Time" t / s	"Relay" R_1	"Voltage" U_B1 / V	"Voltage source" S_1	"Voltage" U_A1 / V
0	0	0,8235	1	0,25
0,1	0	0,8245	1	0,245
0,201	0	0,826	1	0,25
0,3	0	0,827	1	0,245
0,401	0	0,8285	1	0,245
0,501	0	0,8305	1	0,245
0,601	0	0,832	1	0,24
0,7	0	0,8325	1	0,245
0,801	0	0,8355	1	0,24
0,901	0	0,8365	1	0,24
1,001	0	0,8365	1	0,24
1,101	0	0,838	1	0,235
1,201	0	0,84	1	0,235
1,301	0	0,841	1	0,235
1,401	0	0,8425	1	0,235
1,5	0	0,8445	1	0,23
1,618	0	0,845	1	0,23
1,701	0	0,8465	1	0,23
1,81	0	0,8475	1	0,23
1,901	0	0,849	1	0,23
2	0	0,8505	1	0,225
2,104	0	0,8515	1	0,225
2,201	0	0,853	1	0,22
2,301	0	0,854	1	0,22
2,401	0	0,856	1	0,22
2,526	0	0,857	1	0,225
2,6	0	0,8595	1	0,22
2,701	0	0,86	1	0,22
2,801	0	0,8605	1	0,215
2,901	0	0,862	1	0,22
3,02	0	0,8645	1	0,215
3,101	0	0,865	1	0,215
3,205	0	0,8675	1	0,21
3,301	0	0,8685	1	0,21
3,401	0	0,869	1	0,21
3,501	0	0,8715	1	0,21
3,601	0	0,872	1	0,21
3,701	0	0,873	1	0,205
3,801	0	0,877	1	0,205
3,901	0	0,8765	1	0,205
4,001	0	0,878	1	0,2
4,101	0	0,8795	1	0,205
4,201	0	0,88	1	0,205
4,3	0	0,882	1	0,2
4,401	0	0,8825	1	0,2
4,501	0	0,883	1	0,2
4,6	0	0,886	1	0,2
4,701	0	0,8875	1	0,2
4,812	0	0,889	1	0,195
4,929	0	0,89	1	0,195
5,038	0	0,8915	1	0,195
5,104	0	0,8925	1	0,195
5,204	0	0,894	1	0,195
5,301	0	0,895	1	0,19
5,4	0	0,898	1	0,195
5,501	0	0,898	1	0,19
5,601	0	0,8995	1	0,19
5,709	0	0,9	1	0,19
5,812	0	0,902	1	0,19
5,901	0	0,9045	1	0,19
6,001	0	0,906	1	0,185
6,101	0	0,9065	1	0,185
6,204	0	0,9075	1	0,185
6,321	0	0,91	1	0,185
6,4	0	0,9095	1	0,185
6,501	0	0,9105	1	0,18
6,632	0	0,913	1	0,18
6,735	0	0,915	1	0,18
6,849	0	0,9155	1	0,18
6,9	0	0,916	1	0,18
