Record Length,2500,Points,855.760037899E-3,8.599999428,,Record Length,2500,Points,855.760037899E-3,847.999930382E-3,
Sample Interval,3.99999999E-6,s,855.764031410E-3,8.599999428,,Sample Interval,3.99999999E-6,s,855.764031410E-3,847.999930382E-3,
Trigger Point,-213.94002018E3,Samples,855.768024921E-3,8.599999428,,Trigger Point,-213.94002018E3,Samples,855.768024921E-3,847.999930382E-3,
,,,855.772018433E-3,8.399999619,,,,,855.772018433E-3,847.999930382E-3,
,,,855.776011944E-3,8.599999428,,,,,855.776011944E-3,847.999930382E-3,
,,,855.780065060E-3,8.599999428,,,,,855.780065060E-3,847.999930382E-3,
Source,CH1,,855.784058571E-3,8.599999428,,Source,CH2,,855.784058571E-3,847.999930382E-3,
Vertical Units,Volts,,855.788052082E-3,8.599999428,,Vertical Units,Volts,,855.788052082E-3,847.999930382E-3,
Vertical Scale,5.11953094,,855.792045593E-3,8.399999619,,Vertical Scale,204.78123589E-3,,855.792045593E-3,847.999930382E-3,
Vertical Offset,0,,855.796039104E-3,8.399999619,,Vertical Offset,0,,855.796039104E-3,847.999930382E-3,
Horizontal Units,s,,855.800032616E-3,8.599999428,,Horizontal Units,s,,855.800032616E-3,847.999930382E-3,
Horizontal Scale,1.000000E-3,,855.804026127E-3,8.599999428,,Horizontal Scale,1.000000E-3,,855.804026127E-3,847.999930382E-3,
Pt Fmt,Y,,855.808019638E-3,8.599999428,,Pt Fmt,Y,,855.808019638E-3,847.999930382E-3,
Yzero,-429.726842667E-3,,855.812013149E-3,8.399999619,,Yzero,-3.43781474,,855.812013149E-3,847.999930382E-3,
Probe Atten,1.000000,,855.816066265E-3,8.599999428,,Probe Atten,1.000000,,855.816066265E-3,847.999930382E-3,
,,,855.820059776E-3,8.599999428,,,,,855.820059776E-3,847.999930382E-3,
Note,TDS 2012C - 16:53:28   20.11.2018,,855.824053288E-3,8.599999428,,Note,TDS 2012C - 16:53:28   20.11.2018,,855.824053288E-3,847.999930382E-3,
,,,855.828046799E-3,8.599999428,,,,,855.828046799E-3,847.999930382E-3,
,,,855.832040310E-3,8.599999428,,,,,855.832040310E-3,847.999930382E-3,
,,,855.836033821E-3,8.599999428,,,,,855.836033821E-3,847.999930382E-3,
,,,855.840027332E-3,8.599999428,,,,,855.840027332E-3,847.999930382E-3,
,,,855.844020844E-3,8.399999619,,,,,855.844020844E-3,847.999930382E-3,
,,,855.848014355E-3,8.599999428,,,,,855.848014355E-3,847.999930382E-3,
,,,855.852067471E-3,8.599999428,,,,,855.852067471E-3,847.999930382E-3,
,,,855.856060982E-3,8.599999428,,,,,855.856060982E-3,847.999930382E-3,
,,,855.860054493E-3,8.599999428,,,,,855.860054493E-3,847.999930382E-3,
,,,855.864048004E-3,8.599999428,,,,,855.864048004E-3,847.999930382E-3,
,,,855.868041515E-3,8.599999428,,,,,855.868041515E-3,847.999930382E-3,
,,,855.872035027E-3,8.599999428,,,,,855.872035027E-3,847.999930382E-3,
,,,855.876028538E-3,8.599999428,,,,,855.876028538E-3,847.999930382E-3,
,,,855.880022049E-3,8.599999428,,,,,855.880022049E-3,847.999930382E-3,
,,,855.884015560E-3,8.399999619,,,,,855.884015560E-3,847.999930382E-3,
,,,855.888009071E-3,8.599999428,,,,,855.888009071E-3,855.999946594E-3,
,,,855.892062187E-3,8.399999619,,,,,855.892062187E-3,847.999930382E-3,
,,,855.896055698E-3,8.399999619,,,,,855.896055698E-3,847.999930382E-3,
,,,855.900049210E-3,8.599999428,,,,,855.900049210E-3,847.999930382E-3,
,,,855.904042721E-3,8.399999619,,,,,855.904042721E-3,847.999930382E-3,
,,,855.908036232E-3,8.599999428,,,,,855.908036232E-3,847.999930382E-3,
